short_window,long_window,final_equity,cagr,max_drawdown,sharpe_ratio,trade_count
5,20,4.539936037992922,0.09560557262032643,-0.24158947062213587,0.7691037495699338,230
5,30,4.300393601123455,0.09202719914388546,-0.2872164652728847,0.7335056334179003,180
5,40,3.859690530710518,0.08492467345680565,-0.253713731982815,0.673190418210383,160
5,50,4.675179060017167,0.09754827188467807,-0.21942567039544714,0.757701200536873,124
5,60,3.7051835731449625,0.08225294492904123,-0.27576562690129314,0.6410968916001238,124
5,70,3.163788671319429,0.07198447539764397,-0.3070317805895656,0.5643064191505506,118
5,80,3.4062517427336227,0.07677245967157109,-0.28728713652558924,0.5903256736662887,98
5,90,4.056336729247946,0.08818334002973605,-0.2592161801912283,0.6630374707909005,96
5,100,5.131774203451152,0.10373809137853707,-0.2767131059720671,0.749645082036172,83
5,110,5.782468233761909,0.1117189816275923,-0.23945451649934624,0.7919105713176453,81
5,120,7.011349371510031,0.12472351756563693,-0.2472246855568142,0.8620250425766738,61
5,130,6.754539900889862,0.12219343149656647,-0.2773611585724034,0.8382402978399699,63
5,140,7.112996668309912,0.12570095890497135,-0.24501106200798106,0.8552893700532963,63
5,150,7.1984450415530565,0.12651252970961635,-0.24252343200014326,0.855875486123693,49
5,160,8.240730153537488,0.13574364522701488,-0.2778225873803545,0.9002263373054504,45
5,170,9.211498158137942,0.14340269626317692,-0.2778225873803545,0.9448582480453277,33
5,180,8.78594459851486,0.14014338997076004,-0.2778225873803545,0.9266168549675529,33
5,190,7.710836999105463,0.13119716110084312,-0.27782258738035437,0.8706327016992257,37
5,200,7.566027041383985,0.12990359568979803,-0.2556964157328554,0.8599936871638449,39
10,20,3.39299391061391,0.07651905975550677,-0.32600593546795187,0.6095456006993548,196
10,30,5.606506226127515,0.10964750401410983,-0.2418163718234113,0.8371789686144473,136
10,40,3.35055492329671,0.07570161140548493,-0.2821736651839334,0.5958395310852599,114
10,50,3.2166367854861773,0.07305677638305896,-0.3611234908131652,0.5738219557169215,104
10,60,3.4917477931373875,0.07838464621066676,-0.3730072440276557,0.6039935716898321,94
10,70,3.072687569933057,0.07009586577814364,-0.32040652504020484,0.5438315755810575,92
10,80,3.5367511256210937,0.07921842503769994,-0.2890184567567786,0.5940833712543689,82
10,90,4.085060132451035,0.0886468452404614,-0.28472332114250265,0.655369950762565,67
10,100,5.1397557205048034,0.10384161944344728,-0.2609086814783045,0.7436677671977336,57
10,110,6.169876774155864,0.11607846152368184,-0.27944955577923336,0.8112179619087843,53
10,120,6.711249130801574,0.12175805020457298,-0.2719885289908288,0.8377376531858893,43
10,130,6.130540937251924,0.11564773439481613,-0.2830546870166929,0.787541030070807,47
10,140,5.763275633793153,0.11149594045217226,-0.30608175480379685,0.7570676966838187,43
10,150,6.987698919673586,0.12449418583911265,-0.2965627995147687,0.8237914224645682,37
10,160,6.876048352171428,0.12340159605665968,-0.321471644927964,0.808859576475978,29
10,170,6.359017836815784,0.11811418069315183,-0.3214716449279639,0.7783799222691805,31
10,180,6.417306136731563,0.11873007405965885,-0.321471644927964,0.779458948114586,31
10,190,6.768058775529589,0.12232885553267048,-0.3149660547362686,0.7964833069365915,31
10,200,6.191512088783459,0.11631426939259404,-0.3149660547362684,0.7642466282794257,33
15,20,3.9004224553591214,0.08561226313245496,-0.29113192603528026,0.6632172792726188,232
15,30,5.009657354897515,0.10213496020471213,-0.25407302947224697,0.7669083665717772,124
15,40,3.8895301106837294,0.08542905437117865,-0.2763998898435611,0.6419243539315965,104
15,50,3.236732261276965,0.07346017909991076,-0.2484463065012812,0.5610475653080876,94
15,60,2.744959112418439,0.06283658522742219,-0.3024701931432623,0.48682872528476784,82
15,70,2.8788442235358125,0.06589570358569175,-0.2947571251229867,0.5018079819266994,76
15,80,3.5019161582556726,0.07857391533969671,-0.2390279307639842,0.5774191037174177,64
15,90,4.339416276527977,0.09262270900060132,-0.26610211947309204,0.6643250728633933,53
15,100,5.2974867297445645,0.10585714650296252,-0.27891309105133544,0.734779180931213,39
15,110,5.908345363960395,0.113164812379275,-0.28530669616268245,0.7744819941697408,45
15,120,6.677900005948518,0.12142085019832782,-0.2865810822891386,0.8151307207694286,35
15,130,4.9661780661374415,0.10155529430604271,-0.3004640339081315,0.6883829919491282,39
15,140,6.728696212294834,0.12193383449187145,-0.2948181166938012,0.7940715041165711,33
15,150,6.146056789081243,0.1158179421504073,-0.2948181166938011,0.7592216400193074,31
15,160,7.098710664396029,0.12556438030851158,-0.29152143527723584,0.8093092555184328,29
15,170,6.746251552516586,0.1221102777627372,-0.29197167270053426,0.790200381773533,29
15,180,6.754087513371715,0.1221888953452217,-0.28559369035445814,0.7889542694274496,29
15,190,7.127783775073065,0.12584205699244255,-0.28559369035445803,0.8071417023527864,29
15,200,7.334233110301276,0.12778377938254604,-0.2855936903544586,0.8161397665547923,29
20,30,5.0347924731336775,0.10246790892917779,-0.31495764222660105,0.7661996017742622,132
20,40,4.1911547289790825,0.09033273696613264,-0.2677978812247106,0.6634320364981964,98
20,50,4.348045271601039,0.09275371314239456,-0.27100017576664204,0.6697813968936075,80
20,60,2.755237725365381,0.06307635452158222,-0.33473366811215044,0.4833816089747012,74
20,70,2.268096658652833,0.0506664596578712,-0.3579852833410152,0.40031730694762496,70
20,80,3.3682523022434907,0.07604366954948438,-0.3160543285461388,0.5499049328638675,61
20,90,4.093343770184001,0.08877994815293877,-0.2863150598376688,0.6167685420559251,51
20,100,5.327417233124778,0.1062332300411748,-0.28630809666410373,0.7158741899640022,37
20,110,5.724759092882965,0.11104621810180659,-0.2859947699155989,0.737965514897639,35
20,120,5.051988498592684,0.10269479500934064,-0.28559369035445814,0.6904111463487363,35
20,130,5.678199447953827,0.11049877254244111,-0.28559369035445836,0.7321582647339137,31
20,140,6.114330198659216,0.11546947085467929,-0.28559369035445825,0.7552331092413462,29
20,150,5.9168498878829805,0.11326144892164902,-0.2855936903544585,0.74114449714375,31
20,160,7.651544696040995,0.13067029485721315,-0.29042956247554574,0.833479881144268,25
20,170,8.119023389112748,0.13472422649616278,-0.28559369035445825,0.8524778542874066,27
20,180,7.230962466248813,0.12681899745641378,-0.29467943235739724,0.8077845406315274,29
20,190,7.046262447891869,0.12506073470451606,-0.2889868279346084,0.7962196837927892,27
20,200,6.849040150497762,0.12313479604986055,-0.2889868279346083,0.7872738541746523,27
